objectid,province_territory,project_name,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning_date,latitude,longitude,notes
1,Alberta,Optimist Wind Energy,0.9,OWE1,2-Jan,150,23,30,Bonus,AN 150/30,1993,49.525354,-114.054796,NA
2,Alberta,Castle River Wind Farm,44,CRW1,Jan-60,600,44,40,Vestas,V44/600,1997,49.51264064,-114.0357117,NA
3,Alberta,Waterton Wind Turbines,3.78,WWT1,6-Jan,600,44,50,Vestas,V44/600,1998,49.23306874,-113.654899,NA
4,Alberta,Waterton Wind Turbines,3.78,WWT2,6-Feb,600,44,50,Vestas,V44/600,1998,49.23303438,-113.6302134,NA
5,Alberta,Waterton Wind Turbines,3.78,WWT3,6-Mar,600,44,50,Vestas,V44/600,1998,49.21754719,-113.6801606,NA
6,Alberta,Waterton Wind Turbines,3.78,WWT4,6-Apr,660,47,50,Vestas,V47/660,2000,49.21772542,-113.6579058,NA
7,Alberta,Cowley North,19.5,CON1,15-Jan,1300,60,46,Nordex,N60/1300,2001,49.56875858,-114.1103519,NA
8,Alberta,Cowley North,19.5,CON2,15-Feb,1300,60,46,Nordex,N60/1300,2001,49.5678788,-114.1096825,NA
9,Alberta,Cowley North,19.5,CON3,15-Mar,1300,60,46,Nordex,N60/1300,2001,49.56695905,-114.110309,NA
10,Alberta,Cowley North,19.5,CON4,15-Apr,1300,60,46,Nordex,N60/1300,2001,49.56597317,-114.1105134,NA
11,Alberta,Cowley North,19.5,CON5,15-May,1300,60,46,Nordex,N60/1300,2001,49.56495451,-114.1104037,NA
12,Alberta,Cowley North,19.5,CON6,15-Jun,1300,60,46,Nordex,N60/1300,2001,49.56393662,-114.1100892,NA
13,Alberta,Cowley North,19.5,CON7,15-Jul,1300,60,46,Nordex,N60/1300,2001,49.5631611,-114.1092233,NA
14,Alberta,Cowley North,19.5,CON8,15-Aug,1300,60,46,Nordex,N60/1300,2001,49.56236023,-114.108317,NA
15,Alberta,Cowley North,19.5,CON9,15-Sep,1300,60,46,Nordex,N60/1300,2001,49.56168538,-114.1071908,NA
16,Alberta,Cowley North,19.5,CON10,15-Oct,1300,60,46,Nordex,N60/1300,2001,49.56091112,-114.1061019,NA
17,Alberta,Cowley North,19.5,CON11,15-Nov,1300,60,46,Nordex,N60/1300,2001,49.55996191,-114.1054297,NA
18,Alberta,Cowley North,19.5,CON12,15-Dec,1300,60,46,Nordex,N60/1300,2001,49.55900497,-114.1051258,NA
19,Alberta,Cowley North,19.5,CON13,13/15,1300,60,46,Nordex,N60/1300,2001,49.55801061,-114.1047041,NA
20,Alberta,Cowley North,19.5,CON14,14/15,1300,60,46,Nordex,N60/1300,2001,49.55710887,-114.1044128,NA
21,Alberta,Cowley North,19.5,CON15,15/15,1300,60,46,Nordex,N60/1300,2001,49.55615966,-114.1036251,NA
22,Alberta,Lundbreck Wind Farm,19.5,LWF1,1-Jan,600,40,48,Enercon,E-40/600,2001,49.58307,-114.215968,NA
23,Alberta,McBride Lake,75,MBL1,1/115,660,50,47,Vestas,V47/660,2001,49.5828658,-113.4510381,NA
24,Alberta,Sinnott Wind Farm,6.5,SWF1,5-Jan,1300,60,60,Nordex,N60/1300,2001,49.54539453,-113.9704451,NA
25,Alberta,Sinnott Wind Farm,6.5,SWF2,5-Feb,1300,60,60,Nordex,N60/1300,2001,49.53502291,-113.9549555,NA
26,Alberta,Sinnott Wind Farm,6.5,SWF3,5-Mar,1300,60,60,Nordex,N60/1300,2001,49.53219076,-113.977526,NA
27,Alberta,Sinnott Wind Farm,6.5,SWF4,5-Apr,1300,60,60,Nordex,N60/1300,2001,49.53195211,-114.0022956,NA
28,Alberta,Sinnott Wind Farm,6.5,SWF5,5-May,1300,60,60,Nordex,N60/1300,2001,49.54518975,-113.9977952,NA
29,Alberta,Waterton Wind Turbines,3.78,WWT5,6-May,660,47,50,Vestas,V47/660,2001,49.18974711,-113.680682,NA
30,Alberta,Summerview,136.2,SVW1,Jan-61,1800,80,65,Vestas,V80/1800,2002,49.58284577,-113.7913236,NA
31,Alberta,Waterton Wind Turbines,3.78,WWT6,6-Jun,660,47,50,Vestas,V47/660,2002,49.19045971,-113.6405445,NA
32,Alberta,McBride Lake,75,MBL2,2/115,660,50,47,Vestas,V47/660,2003,49.62712847,-113.4677089,NA
33,Alberta,McBride Lake,75,MBL3,3/115,660,50,47,Vestas,V47/660,2003,49.6262466,-113.4663882,NA
34,Alberta,McBride Lake,75,MBL4,4/115,660,50,47,Vestas,V47/660,2003,49.62524877,-113.4651587,NA
35,Alberta,McBride Lake,75,MBL5,5/115,660,50,47,Vestas,V47/660,2003,49.62420212,-113.4639531,NA
36,Alberta,McBride Lake,75,MBL6,6/115,660,50,47,Vestas,V47/660,2003,49.62326004,-113.4626932,NA
37,Alberta,McBride Lake,75,MBL7,7/115,660,50,47,Vestas,V47/660,2003,49.62217214,-113.461479,NA
38,Alberta,McBride Lake,75,MBL8,8/115,660,50,47,Vestas,V47/660,2003,49.62104726,-113.4604887,NA
39,Alberta,McBride Lake,75,MBL9,9/115,660,50,47,Vestas,V47/660,2003,49.62706621,-113.4770801,NA
40,Alberta,McBride Lake,75,MBL10,10/115,660,50,47,Vestas,V47/660,2003,49.62607099,-113.4760571,NA
41,Alberta,McBride Lake,75,MBL11,11/115,660,50,47,Vestas,V47/660,2003,49.62479562,-113.474916,NA
42,Alberta,McBride Lake,75,MBL12,12/115,660,50,47,Vestas,V47/660,2003,49.62339284,-113.473742,NA
43,Alberta,McBride Lake,75,MBL13,13/115,660,50,47,Vestas,V47/660,2003,49.62257482,-113.4729844,NA
44,Alberta,McBride Lake,75,MBL14,14/115,660,50,47,Vestas,V47/660,2003,49.62171028,-113.4722787,NA
45,Alberta,McBride Lake,75,MBL15,15/115,660,50,47,Vestas,V47/660,2003,49.62064949,-113.4713815,NA
46,Alberta,McBride Lake,75,MBL16,16/115,660,50,47,Vestas,V47/660,2003,49.6195843,-113.4695659,NA
47,Alberta,McBride Lake,75,MBL17,17/115,660,50,47,Vestas,V47/660,2003,49.61850637,-113.467642,NA
48,Alberta,McBride Lake,75,MBL18,18/115,660,50,47,Vestas,V47/660,2003,49.61791768,-113.4660296,NA
49,Alberta,McBride Lake,75,MBL19,19/115,660,50,47,Vestas,V47/660,2003,49.61744581,-113.4643143,NA
50,Alberta,McBride Lake,75,MBL20,20/115,660,50,47,Vestas,V47/660,2003,49.62485191,-113.4839934,NA
51,Alberta,McBride Lake,75,MBL21,21/115,660,50,47,Vestas,V47/660,2003,49.62421413,-113.4821061,NA
52,Alberta,McBride Lake,75,MBL22,22/115,660,50,47,Vestas,V47/660,2003,49.62356838,-113.4802533,NA
53,Alberta,McBride Lake,75,MBL23,23/115,660,50,47,Vestas,V47/660,2003,49.62375384,-113.4967401,NA
54,Alberta,McBride Lake,75,MBL24,24/115,660,50,47,Vestas,V47/660,2003,49.62289554,-113.4952834,NA
55,Alberta,McBride Lake,75,MBL25,25/115,660,50,47,Vestas,V47/660,2003,49.6221661,-113.4937364,NA
56,Alberta,McBride Lake,75,MBL26,26/115,660,50,47,Vestas,V47/660,2003,49.62160147,-113.4920023,NA
57,Alberta,McBride Lake,75,MBL27,27/115,660,50,47,Vestas,V47/660,2003,49.62107715,-113.4903041,NA
58,Alberta,McBride Lake,75,MBL28,28/115,660,50,47,Vestas,V47/660,2003,49.6204285,-113.4884608,NA
59,Alberta,McBride Lake,75,MBL29,29/115,660,50,47,Vestas,V47/660,2003,49.61990866,-113.4867135,NA
60,Alberta,McBride Lake,75,MBL30,30/115,660,50,47,Vestas,V47/660,2003,49.61930187,-113.4850424,NA
61,Alberta,McBride Lake,75,MBL31,31/115,660,50,47,Vestas,V47/660,2003,49.61872849,-113.483258,NA
